Symbol,Name,Sector
MMM,3M,Industrials
AOS,A.O. Smith,Industrials
ABT,Abbott Labs,Health Care
ABT,Abbott  ,Health Care
ABBV,AbbVie,Health Care
ABMD,ABIOMED,Health Care
ACN,Accenture,Information Technology
ATVI,Activision Blizzard,Communication Services
ADBE,Adobe,Information Technology
AAP,Advance Auto Parts,Consumer Discretionary
AMD,Advanced Micro Devices Inc,Information Technology
AMD,AMD,Information Technology
AES,AES,Utilities
AFL,AFLAC,Financials
A,Agilent,Health Care
ALK,Alaska Air,Industrials
ALB,Albemarle,Materials
ALXN,Alexion,Health Care
ALGN,Align,Health Care
ALLE,Allegion,Industrials
LNT,Alliant Energy,Utilities
ALL,Allstate Corp,Financials
GOOG,Alphabet,Communication Services
GOOG,Google,Communication Services
MO,Altria,Consumer Staples
AMZN,Amazon,Consumer Discretionary
AMCR,Amcor,Materials
AEE,Ameren,Utilities
AAL,American Airlines,Industrials
AEP,American Electric,Utilities
AXP,American Express,Financials
AXP,Amex,Financials
AMT,American Tower,Real Estate
AWK,American Water Works,Utilities
AMP,Ameriprise,Financials
ABC,AmerisourceBergen,Health Care
AME,AMETEK,Industrials
AMGN,Amgen,Health Care
APH,Amphenol,Information Technology
ADI,Analog Devices.,Information Technology
ANSS,ANSYS,Information Technology
ANTM,Anthem,Health Care
AON,Aon,Financials
APA,Apache,Energy
AAPL,Apple,Information Technology
AMAT,Applied Materials,Information Technology
APTV,Aptiv,Consumer Discretionary
ANET,Arista Networks,Information Technology
AIZ,Assurant,Financials
T,ATandT,Communication Services
ATO,Atmos Energy,Utilities
ADSK,Autodesk,Information Technology
ADP,Automatic Data Processing,Information Technology
ADP,ADP,Information Technology
AZO,AutoZone,Consumer Discretionary
AVB,AvalonBay,Real Estate
AVY,Avery Dennison,Materials
BKR,Baker Hughes,Energy
BAC,Bank of America,Financials
BAX,Baxter International,Health Care
BDX,Becton Dickinson,Health Care
BRK.B,Berkshire Hathaway,Financials
BBY,Best Buy,Consumer Discretionary
BIO,Bio-Rad Laboratories,Health Care
BIIB,Biogen,Health Care
BLK,BlackRock,Financials
BA,Boeing,Industrials
BKNG,Booking Holdings,Consumer Discretionary
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Real Estate
BSX,Boston Scientific,Health Care
BMY,Bristol-Myers Squibb,Health Care
AVGO,Broadcom,Information Technology
BR,Broadridge,Information Technology
BF.B,Brown-Forman,Consumer Staples
CPB,Campbell Soup,Consumer Staples
COF,Capital One,Financials
CCL,Carnival,Consumer Discretionary
CARR,Carrier Global,Industrials
CAT,Caterpillar Inc.,Industrials
CBOE,Cboe,Financials
CBRE,CBRE,Real Estate
CDW,CDW,Information Technology
CE,Celanese,Materials
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
CTL,CenturyLink,Communication Services
CERN,Cerner,Health Care
CF,CF Industries Holdings,Materials
SCHW,Charles Schwab,Financials
CHTR,Charter Communications,Communication Services
CVX,Chevron,Energy
CMG,Chipotle,Consumer Discretionary
CB,Chubb,Financials
CHD,Church and Dwight,Consumer Staples
CI,CIGNA,Health Care
CINF,Cincinnati Financial,Financials
CTAS,Cintas,Industrials
CSCO,Cisco,Information Technology
C,Citigroup,Financials
CFG,Citizens Financial Group,Financials
CTXS,Citrix,Information Technology
CME,CME Group,Financials
CMS,CMS Energy,Utilities
KO,Coca-Cola,Consumer Staples
CTSH,Cognizant Technology,Information Technology
CL,Colgate,Consumer Staples
CMCSA,Comcast.,Communication Services
